Time,X,Y,Yaw,Hitch_Angle
91.32000000000001,63.64401070136129,91.91143192134909,-3.028859179405915,3.1468173878288668
91.36,63.70362983989052,91.91818161178884,-3.028859179405915,3.146781687723172
91.4,63.763248978419746,91.92493130222859,-3.028859179405915,3.146746231550663
91.44,63.822868116948975,91.93168099266833,-3.028859179405915,3.1467110176446274
91.48,63.8824872554782,91.93843068310808,-3.028859179405915,3.1466760443497406
91.52,63.94210639400743,91.94518037354783,-3.028859179405915,3.1466413100219865
91.56,64.00172553253667,91.95193006398758,-3.028859179405915,3.146606813028582
91.60000000000001,64.0613446710659,91.95867975442732,-3.028859179405915,3.146572551747899
91.64,64.12096380959512,91.96542944486707,-3.028859179405915,3.146538524569388
91.68,64.18058294812435,91.97217913530682,-3.028859179405915,3.146504729893504
91.72,64.24020208665358,91.97892882574656,-3.028859179405915,3.1464711661316302
91.76,64.29982122518281,91.98567851618631,-3.028859179405915,3.1464378317060033
91.8,64.35944036371204,91.99242820662606,-3.028859179405915,3.1464047250496394
91.84,64.41905950224127,91.9991778970658,-3.028859179405915,3.1463718446062607
91.88,64.4786786407705,92.00592758750555,-3.028859179405915,3.146339188830223
91.92,64.53829777929973,92.0126772779453,-3.028859179405915,3.1463067561864406
91.96000000000001,64.59791691782895,92.01942696838505,-3.028859179405915,3.146274545150318
92.0,64.65753605635818,92.0261766588248,-3.028859179405915,3.146242554207674
92.04,64.71715519488741,92.03292634926454,-3.028859179405915,3.146210781854674
92.08,64.77677433341664,92.03967603970429,-3.028859179405915,3.1461792265977575
92.12,64.83639347194587,92.04642573014404,-3.028859179405915,3.1461478869535693
92.16,64.8960126104751,92.05317542058378,-3.028859179405915,3.1461167614488876
92.2,64.95563174900433,92.05992511102353,-3.028859179405915,3.1460858486205567
92.24,65.01525088753355,92.06667480146328,-3.028859179405915,3.1460551470154177
92.28,65.07487002606278,92.07342449190303,-3.028859179405915,3.14602465519024
92.32000000000001,65.13448916459201,92.08017418234277,-3.028859179405915,3.145994371711654
92.36,65.19410830312124,92.08692387278252,-3.028859179405915,3.1459642951560824
92.4,65.25372744165047,92.09367356322227,-3.028859179405915,3.145934424109675
92.44,65.3133465801797,92.10042325366202,-3.028859179405915,3.1459047571682413
92.48,65.37296571870893,92.10717294410176,-3.028859179405915,3.145875292937185
92.52,65.43258485723815,92.11392263454151,-3.028859179405915,3.145846030031438
92.56,65.49220399576738,92.12067232498126,-3.028859179405915,3.1458169670753953
92.60000000000001,65.55182313429661,92.127422015421,-3.028859179405915,3.1457881027028507
92.64,65.61144227282584,92.13417170586075,-3.028859179405915,3.1457594355569323
92.68,65.67106141135507,92.1409213963005,-3.028859179405915,3.145730964290039
92.72,65.7306805498843,92.14767108674025,-3.028859179405915,3.145702687563777
92.76,65.79029968841353,92.15442077718,-3.028859179405915,3.1456746040488976
92.8,65.84991882694275,92.16117046761974,-3.028859179405915,3.145646712425233
92.84,65.90953796547198,92.16792015805949,-3.028859179405915,3.145619011381636
92.88,65.96915710400121,92.17466984849924,-3.028859179405915,3.1455914996159176
92.92,66.02877624253044,92.18141953893898,-3.028859179405915,3.145564175834785
